upm;nvivi;nhoga;dpto;area;año;e01aimde;e01bimde;e01cimde;e01dde;e01ede;e01fde;e02tde;e01hide;e01ide;e01jde;e01kjde;e01hde;e01kde;e01lde;v19ede;ingrevasode;ingrealmuerzode;v21gde;totpers;ingrem;ipcm;linpobto;linpobex;pobrezai;pobnopoi;fex.2022;facpob;p0pobtot;p1pobtot;p2pobtot;p0pobext;p1pobext;p2pobext;ipcmdefg;quintili;decili;quintiai;decilai
177;28;1;0;1;2023;3000000;0;0;0;0;0;0;0;0;0;0;0;0;0;1500000;0;0;0;3;4500000;1500000;853778;359480;3;0;79,64636614;238,93909842;0; ;0;0; ;0;1500000;3;6;3;5
177;31;1;0;1;2023;0;0;0;0;0;2000000;0;0;0;0;0;0;0;0;1000000;0;0;0;2;3000000;1500000;853778;359480;3;0;62,533562246;125,067124492;0; ;0;0; ;0;1500000;3;6;3;5
177;40;1;0;1;2023;10000000;0;0;0;0;0;0;0;0;0;0;0;0;0;4000000;0;0;1200000;2;13900000;6950000;853778;359480;3;0;68,366636106;136,733272212;0; ;0;0; ;0;6950000;5;10;5;10
177;44;1;0;1;2023;0;0;0;0;0;0;0;1900000;0;0;0;0;0;0;1578697,54341909;0;0;0;2;3478697,54341909;1739348,77170955;853778;359480;3;0;70,421535042;140,843070084;0; ;0;0; ;0;1739348,77170955;4;7;3;6
177;45;1;0;1;2023;4020000;0;0;0;0;0;0;0;0;0;0;0;0;0;1500000;60008;0;1900000;3;5421674,66666667;1807224,88888889;853778;359480;3;0;72,149744737;216,449234211;0; ;0;0; ;0;1807224,88888889;4;7;3;6
191;8;1;0;1;2023;12849304,4822256;1482612,05564142;0;0;0;1482612,05564142;0;0;0;0;0;0;0;0;0;120016;507226;0;5;16441770,5935085;3288354,11870169;853778;359480;3;0;85,895642733;429,478213665;0; ;0;0; ;0;3288354,11870169;5;9;5;9
191;25;1;0;1;2023;2471020,0927357;0;0;0;0;0;0;0;0;0;0;0;0;0;1482612,05564142;0;0;0;4;3953632,14837711;988408,037094278;853778;359480;3;0;84,392182284;337,568729136;0; ;0;0; ;0;988408,037094278;2;4;2;3
191;28;1;0;1;2023;7413060,27820709;0;0;0;0;0;0;0;0;0;0;0;0;0;2471020,0927357;60008;253613;1846225,01740816;6;10043849,2861588;1673974,88102646;853778;359480;3;0;98,12700389;588,76202334;0; ;0;0; ;0;1673974,88102646;4;7;3;6
191;31;1;0;1;2023;6918856,25965995;0;0;0;0;0;0;0;0;0;0;0;0;0;1482612,05564142;0;0;0;2;8401468,31530137;4200734,15765068;853778;359480;3;0;82,751937227;165,503874454;0; ;0;0; ;0;4200734,15765068;5;10;5;10
191;32;1;0;1;2023;2876267,38794435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2876267,38794435;2876267,38794435;853778;359480;3;0;108,075978648;108,075978648;0; ;0;0; ;0;2876267,38794435;5;9;5;9
191;33;1;0;1;2023;1976816,07418856;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1976816,07418856;1976816,07418856;853778;359480;3;0;83,282467947;83,282467947;0; ;0;0; ;0;1976816,07418856;4;7;4;7
191;35;1;0;1;2023;296522,411128284;0;0;0;0;1482612,05564142;0;0;0;0;0;0;0;0;0;0;0;0;1;1779134,4667697;1779134,4667697;853778;359480;3;0;90,235837332;90,235837332;0; ;0;0; ;0;1779134,4667697;4;7;3;6
191;36;1;0;1;2023;2471020,0927357;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60008;253613;0;4;2784641,0927357;696160,273183924;853778;359480;2;1;84,718664795;338,87465918;1;,184612073414958;,0340816176505698;0; ;0;696160,273183924;1;2;1;2
